File;Line;Function;Executable Source Lines;Executable Source Lines Covered;Instructions;Instructions Covered;Run Count;Instructions Executed
flatbuffers.h;2446;__adddf3;138;44;196;102;73;4824
__aeabi_atexit.c;25;__aeabi_atexit(void*, void(void*)*, void*);2;2;6;6;3;18
new_allocator.h;119;__aeabi_cdcmple;4;1;6;4;67;335
new_allocator.h;119;__aeabi_cdrcmple;8;4;14;11;5;370
;0;__aeabi_cfcmple;2;1;6;5;28;168
;0;__aeabi_cfrcmple;2;1;10;9;19;244
types.h;292;__aeabi_d2f;17;0;46;6;9;90
;0;__aeabi_d2lz;5;0;19;12;10;120
;0;__aeabi_d2ulz;3;3;18;18;10;180
add.h;73;__aeabi_dcmpeq;4;2;6;4;25;150
;0;__aeabi_dcmpge;5;0;6;0;0;0
test_helpers.cc;1122;__aeabi_dcmpgt;4;2;6;4;5;30
flatbuffer_conversions.h;43;__aeabi_dcmple;4;1;6;3;15;60
;0;__aeabi_dcmplt;3;1;6;4;22;132
new;174;__aeabi_dcmpun;6;1;14;4;10;60
;0;__aeabi_ddiv;64;16;126;58;25;11174
flatbuffers.h;929;__aeabi_dmul;111;22;168;53;81;2862
flatbuffer_conversions.cc;169;__aeabi_drsub;4;0;3;0;0;0
activations_common.cc;40;__aeabi_dsub;139;45;197;103;53;4877
tuple;132;__aeabi_fadd;27;5;101;36;9600;301221
;0;__aeabi_fcmpeq;2;0;6;0;0;0
;0;__aeabi_fcmpge;3;1;6;2;19;76
;0;__aeabi_fcmpgt;2;0;6;0;0;0
;0;__aeabi_fcmple;4;2;6;4;9;54
;0;__aeabi_fcmplt;2;0;6;0;0;0
;0;__aeabi_frsub;28;4;106;34;0;282021
add.h;147;__aeabi_i2f;3;2;10;9;6400;57537
;0;__aeabi_ldiv0;0;0;1;0;0;0
common.h;732;__aeabi_ui2d;13;2;10;2;10;40
flatbuffer_conversions.cc;566;__aeabi_ui2f;4;1;13;9;0;57537
flatbuffers.h;1281;__aeabi_ul2d;37;0;34;0;0;0
;0;__aeabi_uldivmod;1;0;16;7;3;24
;0;__ascii_mbtowc;0;0;17;0;0;0
;0;__ascii_wctomb;0;0;12;0;0;0
;0;__assert_func;0;0;19;0;0;0
types.h;409;__cmpdf2;18;3;37;10;67;1072
;0;__cvt;0;0;77;51;5;277
cpp_dtors.c;29;__cxa_atexit(void(void*)*, void*, void*);1;1;2;2;3;6
;0;__d2b;0;0;61;46;5;191
;0;__disable_irq() (always inlined);0;0;0;0;0;0
;0;__divsf3;24;2;83;30;3214;387843
;0;__DMB() (always inlined);0;0;0;0;0;0
cpp_ctors.c;34;__do_global_ctors_aux();3;1;13;3;1;4
cpp_init_array.c;22;__do_init_array_aux();5;2;9;5;1;6
;0;__DSB() (always inlined);0;0;0;0;0;0
;0;__enable_irq() (always inlined);0;0;0;0;0;0
libc-hooks.c;449;__errno();2;0;3;0;0;0
;0;__exponent;0;0;50;0;0;0
flatbuffers.h;982;__extendsfdf2;27;6;21;7;74;610
;0;__fixdfsi;8;3;25;13;31;335
;0;__fixsfsi;6;2;25;6;3209;19054
;0;__fixunsdfsi;2;0;21;12;20;140
fixedpoint.h;336;__floatdidf;32;0;28;0;0;0
flatbuffers.h;2437;__floatdisf;4;0;25;2;0;19137
;0;__floatsidf;16;9;12;10;36;389
;0;__floatundisf;5;0;31;2;0;19137
;0;__get_IPSR() (always inlined);0;0;0;0;0;0
;0;__gtdf2;20;2;43;10;0;1072
;0;__gtsf2;11;0;37;12;0;504
;0;__hi0bits;0;0;27;0;0;0
;0;__i2b;0;0;8;0;0;0
;0;__ISB() (always inlined);0;0;0;0;0;0
flatbuffer_conversions.cc;611;__lesf2;11;0;34;12;0;504
;0;__lo0bits;0;0;43;19;5;118
;0;__lshift;0;0;69;0;0;0
types.h;408;__ltdf2;20;2;40;10;0;1072
;0;__malloc_lock;0;0;3;2;10;20
;0;__malloc_unlock;0;0;3;2;10;20
;0;__mcmp;0;0;22;0;0;0
;0;__mdiff;0;0;89;0;0;0
;0;__memcpy_ichk(void* restrict, const void* restrict, unsigned int) (always inlined);0;0;0;0;0;0
;0;__memset_ichk(void*, int, unsigned int) (always inlined);0;0;0;0;0;0
;0;__mulsf3;21;4;95;24;6410;103244
;0;__multadd;0;0;46;0;0;0
;0;__multiply;0;0;109;0;0;0
flatbuffer_conversions.cc;611;__nesf2;11;0;31;12;28;504
;0;__NVIC_ClearPendingIRQ(enum IRQn_Type) (always inlined);0;0;0;0;0;0
;0;__NVIC_EnableIRQ(enum IRQn_Type) (always inlined);0;0;0;0;0;0
;0;__NVIC_SetPendingIRQ(enum IRQn_Type) (always inlined);0;0;0;0;0;0
;0;__NVIC_SetPriority(enum IRQn_Type, unsigned int) (always inlined);0;0;0;0;0;0
;0;__NVIC_SystemReset() (always inlined);0;0;0;0;0;0
;0;__pow5mult;0;0;59;0;0;0
printk.c;61;__printk_hook_install(int(int)*);1;0;4;3;1;3
libc-hooks.c;414;__retarget_lock_acquire_recursive(struct __lock*);2;2;5;5;946;4730
libc-hooks.c;369;__retarget_lock_init_recursive(struct __lock**);3;3;7;7;3;21
libc-hooks.c;442;__retarget_lock_release_recursive(struct __lock*);2;2;3;3;946;2838
;0;__sclose;0;0;2;0;0;0
;0;__set_FAULTMASK(unsigned int) (always inlined);0;0;0;0;0;0
;0;__set_MSP(unsigned int) (always inlined);0;0;0;0;0;0
;0;__set_MSPLIM(unsigned int) (always inlined);0;0;0;0;0;0
;0;__set_PSPLIM(unsigned int) (always inlined);0;0;0;0;0;0
;0;__sflush_r;0;0;119;27;466;14912
;0;__sfmoreglue;0;0;17;16;1;16
;0;__sfp;0;0;51;42;3;131
;0;__sfp_lock_acquire;0;0;3;2;3;6
;0;__sfp_lock_release;0;0;3;2;3;6
;0;__sfputc_r;0;0;20;18;4780;73684
;0;__sfputs_r;0;0;16;15;590;43550
;0;__sinit;0;0;42;38;1;41
;0;__sinit_lock_acquire;0;0;3;2;1;2
;0;__sinit_lock_release;0;0;3;2;1;2
;0;__smakebuf_r;0;0;51;35;1;37
;0;__sread;0;0;14;0;0;0
;0;__sseek;0;0;14;0;0;0
libc-hooks.c;150;__stdout_hook_install(int(int)*);1;0;4;3;1;3
;0;__strncpy_ichk(char* restrict, const char* restrict, unsigned int) (always inlined);0;0;0;0;0;0
;0;__strtok_r;0;0;35;25;834;251727
add.h;44;__subsf3;28;5;103;35;3200;285221
;0;__swbuf_r;0;0;71;43;466;22368
;0;__swhatbuf_r;0;0;31;23;1;24
;0;__swrite;0;0;21;16;466;7922
;0;__swsetup_r;0;0;88;36;1;42
flatbuffer_conversions.cc;628;__udivmoddi4;13;0;199;37;3;117
;0;__uniq_ptr_impl<TfLiteFullyConnectedParams, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>::__uniq_ptr_impl<tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>(const class __uniq_ptr_impl<TfLiteFullyConnectedParams, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>*, struct TfLiteFullyConnectedParams*, class BuiltinDataDeleter) (always inlined);0;0;0;0;0;0
;0;_Balloc;0;0;43;33;10;190
;0;_Bfree;0;0;19;11;9;108
;0;_calloc_r;0;0;11;10;3;30
;0;_cleanup_r;0;0;3;0;0;0
libc-hooks.c;236;_close(int);1;0;2;0;0;0
;0;_close_r;0;0;13;0;0;0
configs.c;9;_ConfigAbsSyms();1;0;1;0;0;0
;0;_dtoa_r;30;3;904;201;5;1397
libc-hooks.c;277;_exit(int);3;0;7;0;0;0
;0;_fflush_r;0;0;49;33;466;17708
;0;_free_r;0;0;72;0;0;0
libc-hooks.c;270;_fstat(int, struct stat*);2;2;4;4;1;4
;0;_fstat_r;0;0;15;10;1;11
;0;_fwalk_reent;0;0;25;0;0;0
libc-hooks.c;264;_getpid();1;0;2;0;0;0
;0;_getpid_r;0;0;1;0;0;0
;0;_Head_base<0, TfLiteFullyConnectedParams*, false>::_Head_base<TfLiteFullyConnectedParams*&>(const struct _Head_base<0, TfLiteFullyConnectedParams*, false>*, struct TfLiteFullyConnectedParams*&) (always inlined);0;0;0;0;0;0
;0;_Head_base<1, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter, false>::_Head_base<tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>(const struct _Head_base<1, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter, false>*, class BuiltinDataDeleter) (always inlined);0;0;0;0;0;0
libc-hooks.c;252;_isatty(int);1;0;5;3;1;5
;0;_isatty_r;0;0;13;9;1;10
isr_wrapper.S;50;_isr_wrapper;20;18;20;18;27371;547418
libc-hooks.c;258;_kill(int, int);1;0;2;0;0;0
;0;_kill_r;0;0;15;0;0;0
;0;_localeconv_r;0;0;2;2;5;10
libc-hooks.c;242;_lseek(int, int, int);1;0;2;0;0;0
;0;_lseek_r;0;0;15;0;0;0
;0;_malloc_r;0;0;76;40;10;387
offsets_aarch32.c;104;_OffsetAbsSyms();1;0;1;0;0;0
;0;_printf_common;0;0;95;50;38;2260
;0;_printf_float;0;0;438;151;5;865
;0;_printf_i;0;0;213;92;33;3261
;0;_raise_r;0;0;34;0;0;0
libc-hooks.c;214;_read(int, char*, int);2;0;5;0;0;0
;0;_read_r;0;0;15;0;0;0
libc-hooks.c;285;_sbrk(long int);6;3;15;12;11;132
;0;_sbrk_r;0;0;13;9;11;110
libc-hooks.c;155;_stdin_hook_default();1;0;2;0;0;0
libc-hooks.c;141;_stdout_hook_default(int);1;0;2;0;0;0
;0;_strtol_l.isra.0;0;0;93;40;15;1165
;0;_Tuple_impl<0, TfLiteFullyConnectedParams*, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>::_Tuple_impl<TfLiteFullyConnectedParams*&, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>(const struct _Tuple_impl<0, TfLiteFullyConnectedParams*, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>*, struct TfLiteFullyConnectedParams*&, class BuiltinDataDeleter) (always inlined);0;0;0;0;0;0
;0;_Tuple_impl<1, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>::_Tuple_impl<tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>(const struct _Tuple_impl<1, tflite::(anonymous namespace)::SafeBuiltinDataAllocator::BuiltinDataDeleter>*, class BuiltinDataDeleter) (always inlined);0;0;0;0;0;0
;0;_vfiprintf_r;0;0;239;167;466;52481
libc-hooks.c;222;_write(int, const void*, int);2;2;5;5;466;2330
;0;_write_r;0;0;15;11;466;5592
;0;abort;0;0;5;0;0;0
nrf_cc3xx_platform_abort_zephyr.c;16;abort_function(const char*);2;0;3;0;0;0
;0;abs(double) (always inlined);0;0;0;0;0;0
nrf_rtc_timer.c;90;absolute_time_to_cc(long long unsigned int);1;1;2;2;1;2
;0;ActivationFunctionWithMinMax<float>(float, float, float) (always inlined);0;0;0;0;0;0
fixedpoint.h;94;Add<int>(int, int);1;1;2;2;1688720;3377440
sched.c;622;add_thread_timeout(struct k_thread*, struct k_timeout_t);3;1;11;4;27370;136850
sched.c;609;add_to_waitq_locked(struct k_thread*, struct _wait_q_t*);20;9;39;18;27370;547400
mutex.c;81;adjust_owner_prio(struct k_mutex*, int);3;1;9;6;480;2880
;0;AffineQuantize<float, short int>(const struct QuantizationParams&, const class RuntimeShape&, const float*, const class RuntimeShape&, short int*) (always inlined);0;0;0;0;0;0
;0;AffineQuantize<float, signed char>(const struct QuantizationParams&, const class RuntimeShape&, const float*, const class RuntimeShape&, signed char*) (always inlined);0;0;0;0;0;0
memory_helpers.cc;37;AlignPointerDown(unsigned char*, unsigned int);2;2;3;3;36;108
memory_helpers.cc;30;AlignPointerUp(unsigned char*, unsigned int);2;2;5;5;148;740
memory_helpers.cc;44;AlignSizeUp(unsigned int, unsigned int);2;2;5;5;11;55
micro_allocator.cc;282;AllocationInfoBuilder::AddScratchBuffers(const class AllocationInfoBuilder*, struct *, struct *);12;2;27;8;1;9
micro_allocator.cc;190;AllocationInfoBuilder::AddTensors(const class AllocationInfoBuilder*, const struct SubGraph*, const int*, struct TfLiteEvalTensor*);37;26;320;226;1;3065
;0;AllocationInfoBuilder::AllocationInfoBuilder(const class AllocationInfoBuilder*, struct AllocationInfo*, unsigned int, unsigned int, class ErrorReporter*) (always inlined);0;0;0;0;0;0
micro_allocator.cc;252;AllocationInfoBuilder::GetOfflinePlannedOffsets(const class AllocationInfoBuilder*, const struct Model*, const int**);14;3;177;71;1;87
;0;anchor_update(unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;391;api_blocking_start(const struct device*, void*);5;0;20;0;0;0
clock_control_nrf.c;376;api_start(const struct device*, void*, void(const struct device*, void*, void*)*, void*);2;0;7;0;0;0
clock_control_nrf.c;351;api_stop(const struct device*, void*);2;0;4;0;0;0
nrfx_coredep.h;136;arch_busy_wait(unsigned int);3;1;15;12;189715;2276580
cpu_idle.S;128;arch_cpu_atomic_idle;7;6;8;7;3;21
cpu_idle.S;75;arch_cpu_idle;9;8;10;9;27370;246325
irq_manage.c;39;arch_irq_enable(unsigned int);4;2;11;9;4;36
irq_manage.c;49;arch_irq_is_enabled(unsigned int);1;0;9;8;1;8
;0;arch_irq_lock() (always inlined);0;0;0;0;0;0
;0;arch_irq_unlock(unsigned int) (always inlined);0;0;0;0;0;0
;0;arch_is_in_isr() (always inlined);0;0;0;0;0;0
;0;arch_kernel_init() (always inlined);0;0;0;0;0;0
thread.c;56;arch_new_thread(struct k_thread*, struct z_thread_stack_element*, char*, void(void*, void*, void*)*, void*, void*, void*);11;10;20;19;2;38
printk.c;41;arch_printk_char_out(int);1;0;2;0;0;0
swap.c;33;arch_swap(unsigned int);5;5;16;16;28317;453069
thread.c;511;arch_switch_to_main_thread(struct k_thread*, char*, void(void*, void*, void*)*);5;4;14;13;1;13
;0;arch_thread_return_value_set(struct k_thread*, unsigned int) (always inlined);0;0;0;0;0;0
arm_cmse.h;125;arm_cmse_mpu_region_get(unsigned int);3;1;7;4;2;8
arm_mpu.c;266;arm_core_mpu_configure_static_mpu_regions(const struct z_arm_mpu_partition*, const unsigned char, const unsigned int, const unsigned int);3;3;3;3;1;3
cmsis_gcc.h;282;arm_core_mpu_disable();2;2;5;5;1;5
arm_mpu.c;175;arm_core_mpu_enable();3;3;6;6;1;6
arm_mpu.c;282;arm_core_mpu_mark_areas_for_dynamic_regions(const struct z_arm_mpu_partition*, const unsigned char);3;3;3;3;1;3
;0;ARM_MPU_ClrRegion(unsigned int) (always inlined);0;0;0;0;0;0
;0;ARM_MPU_ClrRegionEx(struct MPU_Type*, unsigned int) (always inlined);0;0;0;0;0;0
;0;ARM_MPU_SetRegion(unsigned int, unsigned int, unsigned int) (always inlined);0;0;0;0;0;0
;0;ARM_MPU_SetRegionEx(struct MPU_Type*, unsigned int, unsigned int, unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;356;async_start(const struct device*, void*, void(const struct device*, void*, void*)*, void*, unsigned int);9;8;22;21;1;21
;0;atoi;0;0;3;3;15;45
;0;atomic_and(int*, int) (always inlined);0;0;0;0;0;0
;0;atomic_cas(int*, int, int) (always inlined);0;0;0;0;0;0
;0;atomic_get(const int*) (always inlined);0;0;0;0;0;0
;0;atomic_or(int*, int) (always inlined);0;0;0;0;0;0
;0;atomic_set(int*, int) (always inlined);0;0;0;0;0;0
uart_nrfx_uarte.c;290;baudrate_set(const struct device*, unsigned int);5;3;111;11;1;13
init.c;170;bg_thread_main(void*, void*, void*);9;8;17;12;1;12
;0;big_heap(struct z_heap*) (always inlined);0;0;0;0;0;0
fixedpoint.h;70;BitAnd<int>(int, int);1;1;2;2;2533080;5066160
fixedpoint.h;88;BitNot<int>(int);1;1;2;2;983819;1967638
clock_control_nrf.c;382;blocking_start_callback(const struct device*, void*, void*);2;0;4;0;0;0
banner.c;22;boot_banner();2;1;7;6;1;6
;0;bucket_idx(struct z_heap*, unsigned int) (always inlined);0;0;0;0;0;0
;0;Buffer::data(const struct Buffer*) (always inlined);0;0;0;0;0;0
;0;BuiltinDataAllocator::AllocatePOD<TfLiteFullyConnectedParams>(const class BuiltinDataAllocator*) (always inlined);0;0;0;0;0;0
;0;BuiltinDataDeleter::operator()(const class BuiltinDataDeleter*, void*) (always inlined);0;0;0;0;0;0
fault.c;358;bus_fault(struct __esf*, int, _Bool*);14;0;34;0;0;0
;0;bytes_to_chunksz(struct z_heap*, unsigned int) (always inlined);0;0;0;0;0;0
memory_helpers.cc;96;BytesRequiredForTensor(const struct Tensor&, unsigned int*, unsigned int*, class ErrorReporter*);13;9;97;69;42;4422
submitter_implemented.cpp;89;calculate_result();9;8;44;43;5;89680
kernel_util.h;254;CalculateActivationRange<float>(enum TfLiteFusedActivation, float*, float*);1;0;26;0;0;0
kernel_util.cc;384;CalculateActivationRangeQuantized(struct TfLiteContext*, enum TfLiteFusedActivation, struct TfLiteTensor*, int*, int*);6;1;36;16;10;170
kernel_util.cc;350;CalculateActivationRangeQuantizedImpl(struct TfLiteContext*, enum TfLiteFusedActivation, int, int, struct TfLiteTensor*, int*, int*);22;6;233;53;10;418
fully_connected_common.cc;55;CalculateOpDataFullyConnected(struct TfLiteContext*, enum TfLiteFusedActivation, enum TfLiteType, const struct TfLiteTensor*, const struct TfLiteTensor*, const struct TfLiteTensor*, struct TfLiteTensor*, struct OpDataFullyConnected*);10;6;45;40;10;410
cbprintf_complete.c;1338;cbvprintf(int()*, void*, const char*, struct __va_list);225;49;741;236;2;925
;0;CC_HalInit;0;0;2;2;1;2
;0;CC_LibInitNoRng;0;0;13;6;1;6
;0;CC_PalAbort;0;0;20;0;0;0
;0;CC_PalDmaInit;0;0;2;2;1;2
;0;CC_PalDmaTerminate;0;0;1;0;0;0
;0;CC_PalInit;0;0;30;22;1;24
;0;CC_PalMutexCreate;0;0;8;8;4;32
;0;CC_PalMutexDestroy;0;0;8;0;0;0
;0;CC_PalPowerSaveModeInit;0;0;19;13;1;14
;0;CC_PalTerminate;0;0;12;0;0;0
gpio_nrfx.c;374;cfg_level_pins(const struct device*);16;0;42;0;0;0
nrfx_gpiote.c;332;channel_allocated_clr(unsigned char);1;0;8;0;0;0
nrfx_gpiote.c;327;channel_allocated_set(unsigned char);1;0;7;0;0;0
nrf_rtc_timer.c;420;channel_processing_check_and_clear(int);11;0;41;0;0;0
printk.c;113;char_out(int, void*);3;3;8;8;61;488
gpio_nrfx.c;403;check_level_trigger_pins(const struct device*, unsigned int*);23;0;57;0;0;0
flatbuffer_conversions.cc;67;CheckParsePointerParams(const struct Operator*, class ErrorReporter*, class BuiltinDataAllocator*, void**);5;1;10;2;10;20
;0;chunk_field(struct z_heap*, unsigned int, enum chunk_fields) (always inlined);0;0;0;0;0;0
;0;chunk_header_bytes(struct z_heap*) (always inlined);0;0;0;0;0;0
;0;chunk_set(struct z_heap*, unsigned int, enum chunk_fields, unsigned int) (always inlined);0;0;0;0;0;0
;0;chunk_size(struct z_heap*, unsigned int) (always inlined);0;0;0;0;0;0
;0;chunksz(unsigned int) (always inlined);0;0;0;0;0;0
clock_control_nrf.c;643;clk_init(const struct device*);12;9;38;33;1;82
clock_control_nrf.c;175;clkstarted_handle(const struct device*, enum clock_control_nrf_type);8;7;15;14;1;14
clock_control_nrf.c;572;clock_event_handler(enum nrfx_clock_evt_type_t);11;4;26;8;1;8
;0;cmse_TT(void*) (always inlined);0;0;0;0;0;0
micro_allocator.cc;327;CommitPlan(class ErrorReporter*, class MemoryPlanner*, unsigned char*, const struct AllocationInfo*, unsigned int);8;7;39;38;1;398
nrf_rtc_timer.c;125;compare_int_lock(int);8;6;22;18;1;20
nrf_rtc_timer.c;145;compare_int_unlock(int, _Bool);7;3;24;16;1;18
nrf_rtc_timer.c;295;compare_set(int, long long unsigned int, void(int, long long unsigned int, void*)*, void*);5;5;22;22;1;22
nrf_rtc_timer.c;261;compare_set_nolocks(int, long long unsigned int, void(int, long long unsigned int, void*)*, void*);14;8;57;40;1;43
thread.c;294;configure_builtin_stack_guard(struct k_thread*);2;2;3;3;55686;167058
getchar.c;37;console_getchar();4;2;12;10;27370;273696
getchar.c;50;console_init();9;5;28;21;1;21
uart_console.c;76;console_out(int);9;8;26;25;5307;93955
;0;conversion_radix(char) (always inlined);0;0;0;0;0;0
flatbuffer_conversions.cc;105;ConvertActivation(enum ActivationFunctionType);1;1;6;6;10;41
flatbuffer_conversions.cc;859;ConvertTensorType(enum TensorType, enum TfLiteType*, class ErrorReporter*);37;5;76;13;115;1035
submitter_implemented.cpp;78;copy_input();3;2;13;12;5;19235
nrf_rtc.h;371;counter();1;1;3;3;27385;82155
nrf_rtc_timer.c;55;counter_sub(unsigned int, unsigned int);1;1;3;3;3;9
mem_slab.c;26;create_free_list(struct k_mem_slab*);6;4;21;18;1;587
micro_allocator.cc;303;CreatePlan(class ErrorReporter*, class GreedyMemoryPlanner*, const struct AllocationInfo*, unsigned int);8;5;49;37;1;438
uart_console.c;48;debug_hook_out_nop(char);1;1;2;2;5307;10614
fault.c;609;debug_monitor(struct __esf*, _Bool*);2;0;3;0;0;0
debug_log.cc;43;DebugLog(const char*);2;0;9;0;0;0
;0;Dequantize<short int, float>(const struct DequantizationParams&, const class RuntimeShape&, const short int*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;Dequantize<signed char, float>(const struct DequantizationParams&, const class RuntimeShape&, const signed char*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;Dequantize<unsigned char, float>(const struct DequantizationParams&, const class RuntimeShape&, const unsigned char*, const class RuntimeShape&, float*) (always inlined);0;0;0;0;0;0
;0;DequantizeInt8ToFloat(signed char, float, int) (always inlined);0;0;0;0;0;0
;0;dequeue_thread(void*, struct k_thread*) (always inlined);0;0;0;0;0;0
;0;device_is_ready(const struct device*) (always inlined);0;0;0;0;0;0
;0;device_usable_check(const struct device*) (always inlined);0;0;0;0;0;0
fixedpoint.h;64;Dup<int>(int);1;1;1;1;2533080;2533080
internally_implemented.cpp;98;ee_benchmark_initialize();9;7;13;12;1;12
internally_implemented.cpp;197;ee_buffer_parse(char*);47;17;133;60;410;267765
internally_implemented.cpp;321;ee_get_buffer(unsigned char*, unsigned int);5;2;13;9;5;50
internally_implemented.cpp;289;ee_hexdec(char*);11;7;28;19;12800;337842
unique_ptr.h;153;ee_infer(unsigned int, unsigned int);20;17;30;27;5;1625
internally_implemented.cpp;110;ee_profile_parse(char*);34;9;95;39;413;6684
flatbuffers.h;2449;ee_serial_callback(char);10;7;27;23;27369;382338
internally_implemented.cpp;74;ee_serial_command_parser_callback(char*);9;4;34;22;414;9519
timeout.c;62;elapsed();2;1;9;6;27370;191590
micro_utils.cc;28;ElementCount(const struct TfLiteIntArray&);3;0;12;0;0;0
cbprintf_complete.c;788;encode_uint(long long unsigned int, struct conversion*, char*, const char*);14;5;90;40;1;45
sched.c;1467;end_thread(struct k_thread*);19;0;55;0;0;0
base.h;390;EndianScalar<float>(float);1;1;1;1;42;42
base.h;390;EndianScalar<int>(int);1;1;1;1;15476;15476
base.h;390;EndianScalar<long long int>(long long int);1;1;1;1;84;84
base.h;390;EndianScalar<short unsigned int>(short unsigned int);1;1;1;1;30510;30510
base.h;390;EndianScalar<signed char>(signed char);1;1;1;1;134;134
base.h;390;EndianScalar<unsigned char>(unsigned char);1;1;1;1;10;10
base.h;390;EndianScalar<unsigned int>(unsigned int);1;1;1;1;37607;37607
uart_nrfx_uarte.c;192;endtx_isr(const struct device*);8;0;16;0;0;0
uart_nrfx_uarte.c;1646;endtx_stoptx_ppi_init(struct NRF_UARTE_Type*, struct uarte_nrfx_data*);9;7;21;18;1;18
;0;EnumNameBuiltinOperator(enum BuiltinOperator) (always inlined);0;0;0;0;0;0
error_reporter.cc;20;ErrorReporter::Report(const class ErrorReporter*, const char*);4;0;13;0;0;0
error_reporter.cc;30;ErrorReporter::ReportError(const class ErrorReporter*, void*, const char*);4;0;13;0;0;0
fully_connected.cc;64;Eval(struct TfLiteContext*, struct TfLiteNode*);73;32;596;279;5050;2225107972
dequantize.cc;78;Eval(struct TfLiteContext*, struct TfLiteNode*);32;0;354;0;0;0
quantize_common.cc;78;EvalQuantizeReference(struct TfLiteContext*, struct TfLiteNode*);62;0;1181;0;0;0
nrf_rtc_timer.c;70;event_clear(int);3;3;9;9;1;9
nrf_rtc_timer.c;80;event_disable(int);2;0;6;0;0;0
nrf_rtc_timer.c;75;event_enable(int);2;1;6;5;1;5
;0;exit_pos_ops(struct pm_state_info) (always inlined);0;0;0;0;0;0
;0;extract_conversion(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
cbprintf_complete.c;318;extract_decimal(const char**);6;6;17;17;3;45
;0;extract_flags(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_length(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_prec(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_specifier(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
;0;extract_width(struct conversion*, const char*) (always inlined);0;0;0;0;0;0
micro_string.cc;119;FastFloatToBufferLeft(float, char*);38;0;107;0;0;0
micro_string.cc;92;FastInt32ToBufferLeft(int, char*);5;0;10;0;0;0
micro_string.cc;73;FastUInt32ToBufferLeft(unsigned int, char*, int);12;0;25;0;0;0
fault.c;740;fault_handle(struct __esf*, int, _Bool*);14;0;24;0;0;0
;0;fire_callbacks(const struct device*, unsigned int) (always inlined);0;0;0;0;0;0
dlist.h;272;first();2;0;8;6;27370;191590
micro_allocator.cc;354;FlatBufferVectorToTfLiteTypeArray<float, TfLiteFloatArray>(class SimpleMemoryAllocator*, class ErrorReporter*, const class Vector<float>*, struct TfLiteFloatArray**);1;0;8;4;42;168
micro_allocator.cc;354;FlatBufferVectorToTfLiteTypeArray<int, TfLiteIntArray>(class SimpleMemoryAllocator*, class ErrorReporter*, const class Vector<int>*, struct TfLiteIntArray**);1;0;8;4;93;372
;0;FlatSizeSkipDim(const class RuntimeShape&, int) (always inlined);0;0;0;0;0;0
micro_string.cc;228;FormatFloat(char*, float);2;0;7;0;0;0
micro_string.cc;224;FormatHex(char*, unsigned int);2;0;8;0;0;0
micro_string.cc;216;FormatInt32(char*, int);2;0;7;0;0;0
micro_string.cc;220;FormatUInt32(char*, unsigned int);2;0;8;0;0;0
;0;fprintf;0;0;13;0;0;0
;0;free;0;0;5;0;0;0
heap.c;77;free_list_add(struct z_heap*, unsigned int);9;0;32;0;0;0
heap.c;51;free_list_add_bidx(struct z_heap*, unsigned int, int);12;0;59;0;0;0
;0;frexp;0;0;36;26;10;270
asm_inline_gcc.h;56;full_int_lock();2;0;5;0;0;0
asm_inline_gcc.h;95;full_int_unlock(unsigned int);1;0;3;0;0;0
